"ticket_id","order_id","customer_id","complaint_text","category","severity","sentiment","resolution_summary","action_taken","refund_amount","replacement_given","compensation_given","policy_sections_applied","agent_notes","resolution_time_hours","customer_satisfaction","resolved_by","resolution_status"
"TCK1011","OD658260221","CUS0060","Refund abhi tak account me nahi aaya, order OD658260221, pickup bhi ho gaya tha 19 din pehle.","Refund Request","Low","Frustrated","Verified refund request for the ordered item; refund of ₹66,477.00 processed to original payment method.","Refund of ₹66,477.00 issued to source payment method; Compensation applied: ₹200 coupon","₹66,477.00","No","₹200 coupon","Section 10.3","Refund request validated against order value and payment confirmation; Silver tier customer, prioritized per loyalty policy; Applied under Section 10.3","8.3","4","CSR","Resolved"
"TCK1012","OD383450553","CUS0092","package aaya but ek item missing hai andar se, order number OD383450553, kripya check karke bhejein","Missing Product","High","Frustrated","Verified missing product for the ordered item; refund of ₹3,239.00 processed to original payment method.","Refund of ₹3,239.00 issued to source payment method; Compensation applied: ₹200 coupon","₹3,239.00","No","₹200 coupon","Section 4.1, Section 10.3","Courier weight/tracking data supports customer's claim of incomplete shipment; Platinum tier customer, prioritized per loyalty policy; Applied under Section 4.1, Section 10.3","39.0","4","Supervisor","Resolved"
"TCK1013","OD902638839","CUS0153","mera account hack ho gaya lagta hai, ek order OD902638839 dikh raha hai jo maine kabhi kiya hi nahi tha, Rs 34999 charge hua hai","Late Delivery","Medium","Frustrated","Reviewed late delivery complaint for the ordered item; resolved with ₹500 Store Credit as goodwill compensation.","Compensation applied: ₹500 Store Credit","₹0","No","₹500 Store Credit","Section 3.2","Actual delivery date exceeded expected delivery SLA per system logs; Silver tier customer, prioritized per loyalty policy; Applied under Section 3.2","13.1","4","Supervisor","Resolved"
"TCK1014","OD644518647","CUS0105","I was charged Rs 4999 twice for the same order OD644518647, please reverse the duplicate charge immediately.","Damaged Product","High","Angry","Verified damaged product for the ordered item; refund of ₹583.00 processed to original payment method.","Refund of ₹583.00 issued to source payment method","₹583.00","No","₹0","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on the ordered item; Applied under Section 4.1, Section 10.3","36.9","4","Duty Manager","Resolved"
"TCK1015","OD678998028","CUS0022","box tha bilkul toota hua, andar ka product bhi damage hai. order OD678998028. Please replace ASAP.","Damaged Product","High","Frustrated","Investigation into the the ordered item complaint found the claim did not meet policy criteria for damaged product; request declined with explanation shared to customer.","Case reviewed and closed as not eligible under policy","₹0","No","₹0","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on the ordered item; Gold tier customer, prioritized per loyalty policy; Evidence insufficient to support claim under company policy; Applied under Section 4.1, Section 10.3","66.3","1","Duty Manager","Rejected"
"TCK1016","OD551125671","CUS0020","I never placed order OD551125671 but it shows up in my account with a charge of Rs 9999, this looks like unauthorized/fraudulent activity.","Fraud Complaint","Critical","Angry","Verified fraud complaint for the ordered item; refund of ₹6,327.00 processed to original payment method.","Refund of ₹6,327.00 issued to source payment method; Escalated to senior team for final approval","₹6,327.00","No","₹0","Section 8.5","Trust & Safety review of account activity and device/IP logs conducted; Silver tier customer, prioritized per loyalty policy; Case value/severity required supervisor sign-off before resolution; Applied under Section 8.5","208.4","2","Trust & Safety","Resolved after escalation"
"TCK1017","OD734036506","CUS0203","I paid extra for express delivery on order OD734036506 (Havells mixer grinder) and it's still 3 days late. I want compensation for this.","Late Delivery","Medium","Neutral","Reviewed late delivery complaint for Havells mixer; resolved with ₹200 coupon as goodwill compensation.","Compensation applied: ₹200 coupon","₹0","No","₹200 coupon","Section 3.2","Actual delivery date exceeded expected delivery SLA per system logs; Applied under Section 3.2","25.4","5","Supervisor","Resolved"
"TCK1018","OD261953189","CUS0203","Under extended warranty plan purchased with order OD261953189, requesting free repair for the malfunctioning unit.","Warranty Claim","Low","Frustrated","Verified warranty claim for the ordered item; refund of ₹78,361.00 processed to original payment method.","Refund of ₹78,361.00 issued to source payment method; Compensation applied: Shipping Refund; Order cancelled and full refund initiated","₹78,361.00","No","Shipping Refund","Section 4.1","Product falls within valid warranty period for the ordered item; Applied under Section 4.1","1.9","2","CSR","Cancelled"
"TCK1019","OD966040317","CUS0042","Dear billing team, kindly review order OD966040317. I was overcharged by Rs 2499 compared to the listed MRP.","Billing Dispute","Medium","Frustrated","Verified billing dispute for the ordered item; refund of ₹95,066.00 processed to original payment method.","Refund of ₹95,066.00 issued to source payment method; Compensation applied: ₹200 coupon","₹95,066.00","No","₹200 coupon","Section 8.5, Section 10.3","Payment gateway logs cross-checked to confirm duplicate/incorrect charge; Silver tier customer, prioritized per loyalty policy; Applied under Section 8.5, Section 10.3","14.5","5","Supervisor","Resolved"
"TCK1020","OD352548261","CUS0139","I specifically ordered the black variant of American Tourister suitcase but got white, and honestly it's not even the same model, order OD352548261","Damaged Product","High","Frustrated","Confirmed damaged product for the ordered item; replacement unit dispatched to customer at no additional cost.","Replacement unit initiated and dispatched; Compensation applied: ₹200 coupon","₹0","Yes","₹200 coupon","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on the ordered item; Platinum tier customer, prioritized per loyalty policy; Applied under Section 4.1, Section 10.3","25.5","3","Supervisor","Resolved"
"TCK1021","OD793830224","CUS0111","yeh kya bheja hai aapne, product bilkul tuta hua, packaging bhi weak thi, order OD793830224","Late Delivery","Low","Neutral","Reviewed late delivery complaint for the ordered item; resolved with ₹500 Store Credit as goodwill compensation.","Compensation applied: ₹500 Store Credit","₹0","No","₹500 Store Credit","Section 3.2","Actual delivery date exceeded expected delivery SLA per system logs; Applied under Section 3.2","2.7","4","AI Agent","Resolved"
"TCK1022","OD849621470","CUS0025","Not happy at all. Order OD849621470, Havells mixer grinder, promised in 2 days, now shows 12 days and counting.","Damaged Product","Medium","Neutral","Confirmed damaged product for Havells mixer; replacement unit dispatched to customer at no additional cost.","Replacement unit initiated and dispatched","₹0","Yes","₹0","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on Havells mixer; Silver tier customer, prioritized per loyalty policy; Applied under Section 4.1, Section 10.3","28.9","5","CSR","Resolved"
"TCK1023","OD402533494","CUS0203","Where is the rest of my order? Order id OD402533494, I paid for 4 pieces but only got 3, missing one item completely.","Missing Product","High","Angry","Verified missing product for the ordered item; refund of ₹2,481.00 processed to original payment method.","Refund of ₹2,481.00 issued to source payment method; Compensation applied: Shipping Refund; Order cancelled and full refund initiated","₹2,481.00","No","Shipping Refund","Section 4.1, Section 10.3","Courier weight/tracking data supports customer's claim of incomplete shipment; Applied under Section 4.1, Section 10.3","16.6","3","Supervisor","Cancelled"
"TCK1024","OD508431021","CUS0122","There is an unauthorized transaction of Rs 45999 on my account linked to order OD508431021, I demand an investigation and refund.","Fraud Complaint","High","Frustrated","Verified fraud complaint for the ordered item; refund of ₹4,008.00 processed to original payment method.","Refund of ₹4,008.00 issued to source payment method; Escalated to senior team for final approval","₹4,008.00","No","₹0","Section 8.5","Trust & Safety review of account activity and device/IP logs conducted; Case value/severity required supervisor sign-off before resolution; Applied under Section 8.5","101.4","3","Legal Team","Resolved after escalation"
"TCK1025","OD382811832","CUS0122","got my Wildcraft backpack today, glass part completely shattered, feels like it was thrown around during shipping. order id OD382811832","Damaged Product","High","Frustrated","Verified damaged product for the ordered item; refund of ₹686.00 processed to original payment method.","Refund of ₹686.00 issued to source payment method; Compensation applied: ₹200 coupon; Escalated to senior team for final approval","₹686.00","No","₹200 coupon","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on the ordered item; Case value/severity required supervisor sign-off before resolution; Applied under Section 4.1, Section 10.3","36.2","3","Duty Manager","Resolved after escalation"
"TCK1026","OD853041955","CUS0180","i need this Tata Sky set top box urgently for an event this weekend but order OD853041955 tracking hasnt moved in 19 days, please expedite","Late Delivery","Low","Frustrated","Reviewed late delivery complaint for Tata Sky set; resolved with ₹500 Store Credit as goodwill compensation.","Compensation applied: ₹500 Store Credit","₹0","No","₹500 Store Credit","Section 3.2","Actual delivery date exceeded expected delivery SLA per system logs; Applied under Section 3.2","9.9","5","CSR","Resolved"
"TCK1027","OD497478786","CUS0092","i ordrd Milton steel bottle set last week nd it still shows preparing for dispatch, order number OD497478786, wat is going on","Damaged Product","High","Frustrated","Confirmed damaged product for Milton steel bottle set; replacement unit dispatched to customer at no additional cost.","Replacement unit initiated and dispatched; Compensation applied: ₹200 coupon","₹0","Yes","₹200 coupon","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on Milton steel bottle set; Platinum tier customer, prioritized per loyalty policy; Applied under Section 4.1, Section 10.3","26.6","4","Duty Manager","Resolved"
"TCK1028","OD808705238","CUS0019","very unhappy, refund of Rs 249 for order OD808705238 was supposed to be instant to my UPI but nothing came in","Refund Request","High","Frustrated","Verified refund request for the ordered item; refund of ₹1,949.00 processed to original payment method.","Refund of ₹1,949.00 issued to source payment method","₹1,949.00","No","₹0","Section 10.3","Refund request validated against order value and payment confirmation; Gold tier customer, prioritized per loyalty policy; Applied under Section 10.3","33.3","5","Duty Manager","Resolved"
"TCK1029","OD897163846","CUS0233","Ordered a combo pack, order OD897163846, but the charger/accessory that was supposed to come with the Sony PlayStation 5 is missing.","Missing Product","High","Frustrated","Verified missing product for Ordered a combo pack; refund of ₹5,222.00 processed to original payment method.","Refund of ₹5,222.00 issued to source payment method; Compensation applied: ₹500 Store Credit; Escalated to senior team for final approval","₹5,222.00","No","₹500 Store Credit","Section 4.1, Section 10.3","Courier weight/tracking data supports customer's claim of incomplete shipment; Gold tier customer, prioritized per loyalty policy; Case value/severity required supervisor sign-off before resolution; Applied under Section 4.1, Section 10.3","93.7","4","Duty Manager","Resolved after escalation"
"TCK1030","OD549920675","CUS0057","I never placed order OD549920675 but it shows up in my account with a charge of Rs 34999, this looks like unauthorized/fraudulent activity.","Fraud Complaint","Critical","Angry","Verified fraud complaint for the ordered item; refund of ₹3,106.00 processed to original payment method.","Refund of ₹3,106.00 issued to source payment method; Escalated to senior team for final approval","₹3,106.00","No","₹0","Section 8.5","Trust & Safety review of account activity and device/IP logs conducted; Silver tier customer, prioritized per loyalty policy; Case value/severity required supervisor sign-off before resolution; Applied under Section 8.5","87.9","2","Trust & Safety","Resolved after escalation"
"TCK1031","OD471178705","CUS0142","return complete ho gya tha lekin refund abhi tak initiate nahi hua, order number OD471178705, please check","Refund Request","Medium","Neutral","Verified refund request for the ordered item; refund of ₹2,878.00 processed to original payment method.","Refund of ₹2,878.00 issued to source payment method; Compensation applied: ₹200 coupon","₹2,878.00","No","₹200 coupon","Section 10.3","Refund request validated against order value and payment confirmation; Silver tier customer, prioritized per loyalty policy; Applied under Section 10.3","17.6","5","Supervisor","Resolved"
"TCK1032","OD776205431","CUS0115","Payment failed for order OD776205431 but amount of Rs 45999 got deducted from my bank account, please refund or confirm order.","Payment Failure","High","Frustrated","Verified payment failure for the ordered item; refund of ₹1,039.00 processed to original payment method.","Refund of ₹1,039.00 issued to source payment method","₹1,039.00","No","₹0","Section 8.5","Bank/gateway logs showed deduction without order confirmation, refund initiated; Silver tier customer, prioritized per loyalty policy; Applied under Section 8.5","55.3","4","Duty Manager","Resolved"
"TCK1033","OD536383774","CUS0054","Sir maine Milton steel bottle set order kiya tha, aapne to koi aur cheez bhej di hai bilkul different, order id OD536383774","Refund Request","High","Angry","Verified refund request for Sir maine Milton steel bottle; refund of ₹17,572.00 processed to original payment method.","Refund of ₹17,572.00 issued to source payment method; Compensation applied: ₹200 coupon; Escalated to senior team for final approval","₹17,572.00","No","₹200 coupon","Section 10.3","Refund request validated against order value and payment confirmation; Case value/severity required supervisor sign-off before resolution; Applied under Section 10.3","133.4","4","Duty Manager","Resolved after escalation"
"TCK1034","OD513600440","CUS0003","refund ka status check karna tha, order id OD513600440, bola tha 3 din me aa jayega ab 20 din ho gaye","Refund Request","Low","Frustrated","Verified refund request for the ordered item; refund of ₹23,959.00 processed to original payment method.","Refund of ₹23,959.00 issued to source payment method","₹23,959.00","No","₹0","Section 10.3","Refund request validated against order value and payment confirmation; Silver tier customer, prioritized per loyalty policy; Applied under Section 10.3","11.7","3","CSR","Resolved"
"TCK1035","OD440696084","CUS0203","I made the payment successfully as per my bank but your website still shows order OD440696084 as unpaid, please check and confirm.","Late Delivery","Low","Frustrated","Reviewed late delivery complaint for the ordered item; resolved with ₹200 coupon as goodwill compensation.","Compensation applied: ₹200 coupon","₹0","No","₹200 coupon","Section 3.2","Actual delivery date exceeded expected delivery SLA per system logs; Applied under Section 3.2","6.3","5","CSR","Resolved"
"TCK1036","OD819112790","CUS0042","Dear Support, kindly note the item received under order OD819112790 does not correspond to the product ordered. Requesting swift resolution.","Refund Request","Low","Frustrated","Verified refund request for the ordered item; refund of ₹422.00 processed to original payment method.","Refund of ₹422.00 issued to source payment method","₹422.00","No","₹0","Section 10.3","Refund request validated against order value and payment confirmation; Silver tier customer, prioritized per loyalty policy; Applied under Section 10.3","7.3","4","AI Agent","Resolved"
"TCK1037","OD266211829","CUS0092","Received the wrong product entirely, expected Titan wall clock but got some random household item, order OD266211829. Need exchange urgently.","Wrong Product","Medium","Neutral","Verified wrong product for the ordered item; refund of ₹1,979.00 processed to original payment method.","Refund of ₹1,979.00 issued to source payment method; Compensation applied: Shipping Refund; Order cancelled and full refund initiated","₹1,979.00","No","Shipping Refund","Section 4.1, Section 10.3","Order records confirm mismatch between ordered and delivered SKU for the ordered item; Platinum tier customer, prioritized per loyalty policy; Applied under Section 4.1, Section 10.3","21.9","2","Supervisor","Cancelled"
"TCK1038","OD764926227","CUS0147","I was billed for 2 quantities but I only ordered 1 unit of Bosch power drill, order OD764926227, please adjust the charge","Late Delivery","Low","Frustrated","Reviewed late delivery complaint for the ordered item; resolved with ₹200 coupon as goodwill compensation.","Compensation applied: ₹200 coupon","₹0","No","₹200 coupon","Section 3.2","Actual delivery date exceeded expected delivery SLA per system logs; Silver tier customer, prioritized per loyalty policy; Applied under Section 3.2","4.4","3","AI Agent","Resolved"
"TCK1039","OD174684276","CUS0203","still waiting for my Crompton room heater, order OD174684276, app shows some vague 'delay due to unforeseen circumstances' msg since a week","Late Delivery","Low","Neutral","Reviewed late delivery complaint for Crompton room heater; resolved with Shipping Refund as goodwill compensation.","Compensation applied: Shipping Refund","₹0","No","Shipping Refund","Section 3.2","Actual delivery date exceeded expected delivery SLA per system logs; Applied under Section 3.2","3.6","4","AI Agent","Resolved"
"TCK1040","OD496776692","CUS0025","To support team - order OD496776692: the invoice mentions two items but the parcel only contained one. Kindly send the missing item.","Missing Product","Medium","Neutral","Confirmed missing product for the ordered item; replacement unit dispatched to customer at no additional cost.","Replacement unit initiated and dispatched; Escalated to senior team for final approval","₹0","Yes","₹0","Section 4.1, Section 10.3","Courier weight/tracking data supports customer's claim of incomplete shipment; Silver tier customer, prioritized per loyalty policy; Case value/severity required supervisor sign-off before resolution; Applied under Section 4.1, Section 10.3","19.8","2","Supervisor","Resolved after escalation"
"TCK1041","OD387484583","CUS0088","mera parcel OD387484583 2 baar reschedule ho chuka hai bina kisi reason ke, kab aayega ye to batao","Refund Request","High","Angry","Verified refund request for the ordered item; refund of ₹1,489.00 processed to original payment method.","Refund of ₹1,489.00 issued to source payment method; Escalated to senior team for final approval","₹1,489.00","No","₹0","Section 10.3","Refund request validated against order value and payment confirmation; Case value/severity required supervisor sign-off before resolution; Applied under Section 10.3","98.5","3","Supervisor","Resolved after escalation"
"TCK1042","OD141580226","CUS0004","This is ridiculous, refund promised in 5-7 business days but it's been 14 days for order OD141580226 and nothing.","Refund Request","Low","Neutral","Verified refund request for the ordered item; refund of ₹10,610.00 processed to original payment method.","Refund of ₹10,610.00 issued to source payment method; Compensation applied: ₹200 coupon","₹10,610.00","No","₹200 coupon","Section 10.3","Refund request validated against order value and payment confirmation; Applied under Section 10.3","2.4","3","CSR","Resolved"
"TCK1043","OD838194420","CUS0185","I ordered 3 items together in order OD838194420 but only 2 arrived, one Bosch power drill is missing from the package.","Missing Product","High","Frustrated","Verified missing product for the ordered item; refund of ₹4,318.00 processed to original payment method.","Refund of ₹4,318.00 issued to source payment method; Compensation applied: ₹200 coupon","₹4,318.00","No","₹200 coupon","Section 4.1, Section 10.3","Courier weight/tracking data supports customer's claim of incomplete shipment; Silver tier customer, prioritized per loyalty policy; Applied under Section 4.1, Section 10.3","56.1","4","Duty Manager","Resolved"
"TCK1044","OD180943908","CUS0028","I specifically ordered the black variant of Bajaj ceiling fan but got white, and honestly it's not even the same model, order OD180943908","Refund Request","Low","Neutral","Investigation into the Bajaj ceiling fan complaint found the claim did not meet policy criteria for refund request; request declined with explanation shared to customer.","Case reviewed and closed as not eligible under policy","₹0","No","₹0","Section 10.3","Refund request validated against order value and payment confirmation; Silver tier customer, prioritized per loyalty policy; Evidence insufficient to support claim under company policy; Applied under Section 10.3","7.5","2","AI Agent","Rejected"
"TCK1045","OD802984810","CUS0145","kindly explain the extra GST amount added in order OD802984810, it doesn't match the standard tax calculation","Late Delivery","Medium","Neutral","Reviewed late delivery complaint for the ordered item; resolved with ₹500 Store Credit as goodwill compensation.","Compensation applied: ₹500 Store Credit","₹0","No","₹500 Store Credit","Section 3.2","Actual delivery date exceeded expected delivery SLA per system logs; Platinum tier customer, prioritized per loyalty policy; Applied under Section 3.2","18.2","3","Supervisor","Resolved"
"TCK1046","OD481469012","CUS0116","My order OD481469012 for Dell Inspiron laptop was supposed to arrive on time but it has been 23 days and still no update. This is really frustrating.","Refund Request","High","Frustrated","Verified refund request for Dell Inspiron laptop; refund of ₹4,396.00 processed to original payment method.","Refund of ₹4,396.00 issued to source payment method; Compensation applied: ₹200 coupon","₹4,396.00","No","₹200 coupon","Section 10.3","Refund request validated against order value and payment confirmation; Silver tier customer, prioritized per loyalty policy; Applied under Section 10.3","32.0","4","Supervisor","Resolved"
"TCK1047","OD220123666","CUS0131","Order OD220123666 refund shows 'processed' on the app but the amount Rs 799 is not reflecting in my bank account.","Refund Request","Low","Frustrated","Verified refund request for the ordered item; refund of ₹940.50 processed to original payment method.","Refund of ₹940.50 issued to source payment method","₹940.50","No","₹0","Section 10.3","Refund request validated against order value and payment confirmation; Silver tier customer, prioritized per loyalty policy; Applied under Section 10.3","6.0","5","CSR","Resolved"
"TCK1048","OD738914080","CUS0134","Dear Support, kindly note the item received under order OD738914080 does not correspond to the product ordered. Requesting swift resolution.","Damaged Product","High","Angry","Verified damaged product for the ordered item; refund of ₹409.00 processed to original payment method.","Refund of ₹409.00 issued to source payment method","₹409.00","No","₹0","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on the ordered item; Silver tier customer, prioritized per loyalty policy; Applied under Section 4.1, Section 10.3","51.5","3","Duty Manager","Resolved"
"TCK1049","OD667945747","CUS0203","my order OD667945747 shows 2 units delivered but I only recieved 1 unit of Samsung Galaxy M14 smartphone, please look into this shortage","Damaged Product","Medium","Neutral","Verified damaged product for the ordered item; refund of ₹777.00 processed to original payment method.","Refund of ₹777.00 issued to source payment method; Escalated to senior team for final approval","₹777.00","No","₹0","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on the ordered item; Case value/severity required supervisor sign-off before resolution; Applied under Section 4.1, Section 10.3","17.7","2","Supervisor","Resolved after escalation"
"TCK1050","OD740389325","CUS0186","i need this Havells mixer grinder urgently for an event this weekend but order OD740389325 tracking hasnt moved in 4 days, please expedite","Damaged Product","High","Angry","Verified damaged product for Havells mixer; refund of ₹399.00 processed to original payment method.","Refund of ₹399.00 issued to source payment method; Compensation applied: ₹200 coupon; Escalated to senior team for final approval","₹399.00","No","₹200 coupon","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on Havells mixer; Silver tier customer, prioritized per loyalty policy; Case value/severity required supervisor sign-off before resolution; Applied under Section 4.1, Section 10.3","76.0","3","Supervisor","Resolved after escalation"
"TCK1051","OD214929002","CUS0203","The box for order OD214929002 felt very light and when I opened it, one of the items was simply not there.","Refund Request","Low","Frustrated","Verified refund request for the ordered item; refund of ₹1,769.00 processed to original payment method.","Refund of ₹1,769.00 issued to source payment method; Compensation applied: ₹200 coupon; Escalated to senior team for final approval","₹1,769.00","No","₹200 coupon","Section 10.3","Refund request validated against order value and payment confirmation; Case value/severity required supervisor sign-off before resolution; Applied under Section 10.3","9.8","3","CSR","Resolved after escalation"
"TCK1052","OD379995032","CUS0062","Received the wrong product entirely, expected OnePlus Nord CE3 but got some random household item, order OD379995032. Need exchange urgently.","Wrong Product","High","Angry","Verified wrong product for the ordered item; refund of ₹981.00 processed to original payment method.","Refund of ₹981.00 issued to source payment method; Compensation applied: ₹500 Store Credit","₹981.00","No","₹500 Store Credit","Section 4.1, Section 10.3","Order records confirm mismatch between ordered and delivered SKU for the ordered item; Gold tier customer, prioritized per loyalty policy; Applied under Section 4.1, Section 10.3","56.8","4","Supervisor","Resolved"
"TCK1053","OD924970419","CUS0006","pls check order OD924970419, delivery partner marked it delayed due to logistics issue thrice now, this is unacceptable service","Late Delivery","High","Angry","Reviewed late delivery complaint for the ordered item; resolved with ₹200 coupon as goodwill compensation.","Compensation applied: ₹200 coupon; Escalated to senior team for final approval","₹0","No","₹200 coupon","Section 3.2","Actual delivery date exceeded expected delivery SLA per system logs; Gold tier customer, prioritized per loyalty policy; Case value/severity required supervisor sign-off before resolution; Applied under Section 3.2","112.7","2","Supervisor","Resolved after escalation"
"TCK1054","OD386501362","CUS0203","Order OD386501362 - the Croma 43 inch LED TV arrived with a big crack on the screen. Worth Rs 64999 and totally unusable now.","Damaged Product","High","Frustrated","Verified damaged product for the ordered item; refund of ₹41,631.00 processed to original payment method.","Refund of ₹41,631.00 issued to source payment method; Compensation applied: ₹200 coupon","₹41,631.00","No","₹200 coupon","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on the ordered item; Applied under Section 4.1, Section 10.3","44.3","5","Duty Manager","Resolved"
"TCK1055","OD433310361","CUS0224","double payment ho gaya order OD433310361 ke liye, bank statement me 2 baar deduction dikha raha hai","Damaged Product","High","Frustrated","Investigation into the the ordered item complaint found the claim did not meet policy criteria for damaged product; request declined with explanation shared to customer.","Case reviewed and closed as not eligible under policy","₹0","No","₹0","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on the ordered item; Platinum tier customer, prioritized per loyalty policy; Evidence insufficient to support claim under company policy; Applied under Section 4.1, Section 10.3","26.3","2","Supervisor","Rejected"
